,Energies,Stdev,QBC
0,-242771.65347537212,0.4161089740642007,0.09304479443273399
1,-311527.0093723799,0.31073059337839565,0.06624798173647772
2,-358668.3138971079,1.1807558003570449,0.24620459585481197
3,-405837.7690238445,0.5813912605391308,0.1186759939269163
4,-380192.3407931684,0.6290024616425082,0.12839458437978432
5,-427415.03311281925,1.0187918881428448,0.20375837032339722
6,-474525.54432596226,1.025352955085128,0.2010882570024518
7,-289988.4284235803,0.41617190811869975,0.09081615090267811
8,-337146.3169084031,0.5857005813457454,0.12487178401950838
9,-384359.280992802,0.5874868054125861,0.1224994660243498
10,-431529.69362300826,0.761888137764609,0.15551976454553934
11,-478689.88011615834,0.7883823885105212,0.1576764703969325
12,-277547.33689111815,0.3459150033688249,0.07374932472719684
13,-346230.3438259569,0.4016952492909864,0.08199569478879845
14,-393433.6179752426,0.6017598325781799,0.12035196468934303
15,-440529.23043439747,1.8037697744178773,0.35374833902051644
16,-414812.87034668744,1.1618811359378511,0.22786362901966517
17,-324692.18417868397,0.5105773364444445,0.1064627329837892
18,-371757.9225295847,0.5783193992986062,0.11804894537955782
19,-419126.1936767658,0.42402843769065063,0.08480568388554426
20,-243582.62061405278,0.4441825298875532,0.09470002763889733
21,-312228.85941565584,0.7756200343339152,0.158322777203278
22,-359274.75829466485,1.0639680928775752,0.21279362588068676
23,-406659.4985015244,0.47374655990004544,0.09290934741729807
24,-453790.5385890574,0.8317141834855397,0.1600634717872789
25,-501018.0184260566,1.3566655045689586,0.2563856858617023
26,-380867.9935415138,0.3310565397403696,0.06492553106298064
27,-428119.8705669205,0.6966596018752478,0.1340722095097316
28,-475319.4296027439,0.6936450497069861,0.1310865949530061
29,-449611.2274445955,1.6593289968001355,0.3135837012513087
30,-290767.30004595726,0.46249922528960963,0.0964377544968808
31,-337700.1369152664,0.7062196609699966,0.14415647859673605
32,-385104.02719151956,0.97710938179049,0.19542187270551215
33,-432300.9818179054,0.8452104152146672,0.1657594055038876
34,-278238.2522447703,0.6282940791393424,0.12824998763675002
35,-346912.4692977574,0.6031511755868726,0.11828767839186527
36,-394084.2990330988,0.8486743815480805,0.16332745904444015
37,-441358.23693844693,0.43884292418525983,0.08293352360470313
38,-415439.92021891184,2.0467167019890793,0.38679310073555434
39,-462756.29467803624,1.4269050230101037,0.26496960964625976
40,-325410.08198011166,1.019819871909427,0.20396397438188538
41,-372659.66099719115,0.39538551678225403,0.07754147590081552
42,-419737.7319927814,1.2124536710333988,0.23333682805006656
43,-467061.15367744263,0.6600526557928164,0.12473822721725897
44,-244306.914538658,0.8742468657244409,0.1784548808332575
45,-313018.03377536655,0.648360874534009,0.12715402924717153
46,-360086.721236954,0.7184285022842238,0.13826163418524162
47,-407294.974404282,0.6066156167564486,0.11463957607340074
